City Name,Service type,Stage,Action,Day,From Time,To Time,Amount,Passenger Location,Route Metric,"Month, Day, Year of Request Created Local",Condition Formating,NA%,Non Riders,DP,DP surge only,GMV,Requests with DP,Requests,Rides,max DP,min DP,NA%
Lima,Beat,Start,add_percent,Tuesday,9:30,10:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,3.389830508,2,0,,646.5,0,59,52,0,0,3.39
Lima,Beat,Start,add_percent,Tuesday,10:00,10:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.818181818,1,0,,604.5,0,55,51,0,0,1.82
Lima,Beat,Start,add_percent,Tuesday,10:30,11:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,480,0,47,42,0,0,0
Lima,Beat,Start,add_percent,Tuesday,11:00,11:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,636.5,0,50,49,0,0,0
Lima,Beat,Start,add_percent,Tuesday,11:30,12:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,366.5,0,40,37,0,0,0
Lima,Beat,Start,add_percent,Tuesday,12:00,12:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,564.5,0,53,47,0,0,0
Lima,Beat,Start,add_percent,Tuesday,12:30,13:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,423.5,0,46,40,0,0,0
Lima,Beat,Start,add_percent,Tuesday,13:00,13:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,446,0,45,40,0,0,0
Lima,Beat,Start,add_percent,Tuesday,13:30,14:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,412,0,44,35,0,0,0
Lima,Beat,Start,add_percent,Tuesday,14:00,14:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,574.5,0,58,49,0,0,0
Lima,Beat,Start,add_percent,Tuesday,14:30,15:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,618.5,0,61,55,0,0,0
Lima,Beat,Start,add_percent,Tuesday,15:00,15:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,522,0,53,49,0,0,0
Lima,Beat,Start,add_percent,Tuesday,15:30,16:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.754385965,1,0,,576.5,0,57,50,0,0,1.75
Lima,Beat,Start,add_percent,Tuesday,16:00,16:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.612903226,1,0,,694,0,62,56,0,0,1.61
Lima,Beat,Start,add_percent,Tuesday,16:30,17:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,811.5,0,71,69,0,0,0
Lima,Beat,Start,add_percent,Tuesday,17:00,17:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.470588235,1,0,,742,0,68,60,0,0,1.47
Lima,Beat,Start,add_percent,Tuesday,17:30,18:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.785714286,1,0,,665,0,56,50,0,0,1.79
